Alloy Name,DOIs
AlCrFeMnNi,"['10.1016.j.actamat.2019.12.015', '10.1016.j.jallcom.2023.168760', '10.1016.j.msea.2023.145836', '10.1016.j.matdes.2024.112929', '10.1016.j.actamat.2022.117865', '10.1016.j.scriptamat.2017.03.014', '10.1016.j.jmst.2019.03.025', '10.1016.j.jallcom.2021.160201', '10.1016.j.jallcom.2022.166167', '10.1016.j.jmrt.2020.03.050', '10.1016.j.msea.2017.02.072', '10.1016.j.jnucmat.2022.154163', '10.1016.j.ijrmhm.2022.105777', '10.1016.j.mtcomm.2021.102356', '10.1016.j.jallcom.2008.08.118', '10.1016.j.optlastec.2022.107845', '10.1016.j.surfcoat.2024.130752']"
AlCrFeMnNiW,"['10.1016.j.ijhydene.2019.08.113', '10.1016.j.jallcom.2020.153766']"
AlCrFeMnNiW0,"['10.1016.j.jallcom.2022.166167', '10.1016.j.ijrmhm.2022.105777']"
AlCrFeMnNiW0.05,"['10.1016.j.jallcom.2022.166167', '10.1016.j.ijrmhm.2022.105777', '10.1016.j.mtcomm.2021.102356', '10.1016.j.jallcom.2020.153766']"
AlCrFeMnNiW0.1,"['10.1016.j.jallcom.2022.166167', '10.1016.j.ijrmhm.2022.105777', '10.1016.j.mtcomm.2021.102356', '10.1016.j.jallcom.2020.153766']"
AlCrFeMnNiW0.5,"['10.1016.j.jallcom.2022.166167', '10.1016.j.ijrmhm.2022.105777', '10.1016.j.mtcomm.2021.102356', '10.1016.j.jallcom.2020.153766']"
AlCrFeMnV,"['10.1016.j.matchemphys.2017.06.020', '10.1016.j.triboint.2018.11.025']"
AlCrFeMo,"['10.1016.j.jmst.2020.11.029', '10.1016.j.optlastec.2019.01.009']"
AlCrFeMoTi,"['10.1016.j.jnucmat.2022.154093', '10.1016.j.corsci.2021.109862', '10.1016.j.corsci.2021.109524', '10.1016.j.surfcoat.2021.127252', '10.1016.j.mtcomm.2024.108798', '10.1016.j.surfcoat.2024.130952']"
AlCrFeMoV,"['10.1016.j.jmst.2020.11.029', '10.1016.j.apsusc.2019.03.173', '10.1016.j.matdes.2018.07.023', '10.1016.j.optlastec.2019.01.009']"
AlCrFeNi,"['10.1016.j.jallcom.2018.07.346', '10.1016.j.jallcom.2021.162242', '10.1016.j.corsci.2022.110805', '10.1016.j.jallcom.2022.165658', '10.1016.j.msea.2016.11.019', '10.1016.j.jallcom.2022.165441', '10.1016.j.jallcom.2020.156959', '10.1016.j.msea.2023.145836', '10.1016.j.matchar.2023.113578', '10.1016.j.jestch.2021.05.007', '10.1016.j.jmst.2022.04.028', '10.1016.j.wear.2023.204701', '10.1016.j.scriptamat.2017.03.014', '10.1016.j.jallcom.2023.172070', '10.1016.j.wear.2023.204765', '10.1016.j.cjche.2022.08.010', '10.1016.j.ijmecsci.2023.108163', '10.1016.j.intermet.2019.02.006', '10.1016.j.jallcom.2013.03.253', '10.1016.j.jallcom.2013.10.133', '10.1016.j.jallcom.2021.159217', '10.1016.j.jallcom.2022.166778', '10.1016.j.jallcom.2023.170373', '10.1016.j.jallcom.2023.172030', '10.1016.j.jmst.2023.09.035', '10.1016.j.msea.2018.10.114', '10.1016.j.msea.2022.143198', '10.1016.j.msea.2023.145582', '10.1016.j.mtcomm.2023.107734', '10.1016.j.triboint.2024.109486', '10.1016.j.vacuum.2021.110851', '10.1016.j.vacuum.2022.111059', '10.1016.j.intermet.2022.107469']"
AlCrFeNi2Cu,"['10.1016.j.intermet.2018.05.013', '10.1016.j.pmatsci.2023.101090', '10.1016.j.scriptamat.2020.05.047']"
AlCrFeNi3,"['10.1016.j.jallcom.2024.175431', '10.1016.j.corsci.2022.110666', '10.1016.j.jallcom.2020.153886', '10.1016.j.corsci.2023.111313', '10.1016.j.corsci.2024.111879']"
AlCrFeNiCu,"['10.1016.j.jmrt.2023.08.094', '10.1016.j.vacuum.2021.110143', '10.1016.S1006-7191(08)60092-7']"
AlCrFeNiMn,"['10.1016.j.jallcom.2022.166778', '10.1016.j.geothermics.2019.04.006']"
AlCrFeNiMo,"['10.1016.j.actamat.2023.119177', '10.1016.j.jallcom.2013.03.253']"
AlCrFeNiMo0.2,"['10.1016.j.jallcom.2023.169624', '10.1016.j.jallcom.2013.03.253', '10.1016.j.matdes.2015.05.046']"
AlCrFeNiTi,"['10.1016.j.vacuum.2024.113290', '10.1016.j.surfcoat.2021.127651', '10.1016.j.jallcom.2023.169560', '10.1016.j.jallcom.2023.172070', '10.1016.j.wear.2023.204765', '10.1016.j.jallcom.2023.170373', '10.1016.j.msea.2018.10.114', '10.1016.j.intermet.2018.07.017', '10.1016.j.vacuum.2023.112611', '10.1016.j.intermet.2017.03.014', '10.1016.j.matlet.2024.137018']"
AlCrFeNiTi0.2,"['10.1016.j.wear.2023.204856', '10.1016.j.jallcom.2023.172070']"
AlCrFeNiTi0.25,"['10.1016.j.jallcom.2014.09.073', '10.1016.j.jmst.2023.10.057']"
AlCrFeNiTi0.5,"['10.1016.j.jallcom.2023.172070', '10.1016.j.wear.2023.204765', '10.1016.j.cjche.2022.08.010', '10.1016.j.jallcom.2023.170373', '10.1016.j.msea.2018.10.114']"
AlCrFeNiTi1.5,"['10.1016.j.wear.2023.204765', '10.1016.j.cjche.2022.08.010']"
AlCrFeNiTiZn,"['10.1016.j.intermet.2017.03.014', '10.1016.j.intermet.2023.107981']"
AlCrFeNiV,"['10.1016.j.jmst.2020.11.029', '10.1016.j.jallcom.2018.11.089', '10.1016.j.jallcom.2019.152196', '10.1016.j.jmst.2023.04.052', '10.1016.j.jallcom.2023.169560', '10.1016.j.msea.2022.144348']"
AlCrFeTiNb,"['10.1016.j.vacuum.2022.111774', '10.1016.j.nme.2023.101499', '10.1016.j.surfcoat.2022.128502']"
AlCrFeTiV,"['10.1016.j.surfcoat.2024.131147', '10.1016.j.mtcomm.2024.108645']"
AlCrMnFeCoNi,"['10.1016.j.msea.2019.05.095', '10.1016.j.actamat.2018.05.050']"
AlCrMoNbTi,"['10.1016.j.pmatsci.2020.100714', '10.1016.j.matchar.2018.07.015']"
AlCrMoNbZr,"['10.1016.j.apsusc.2019.04.192', '10.1016.j.jnucmat.2018.10.001', '10.1016.j.surfcoat.2022.128656', '10.1016.j.surfcoat.2018.04.037']"
AlCrMoNbZrN,"['10.1016.j.apsusc.2019.04.192', '10.1016.j.jnucmat.2018.10.001']"
AlCrMoTaTiZrN,"['10.1016.j.jmrt.2023.05.002', '10.1016.j.surfcoat.2022.128916']"
AlCrMoTiV,"['10.1016.j.matchar.2018.07.015', '10.1016.j.surfcoat.2023.129366']"
AlCrMoTiW,"['10.1016.j.matchar.2018.07.015', '10.1016.j.matchar.2020.110719']"
AlCrNbSiTi,"['10.1016.j.vacuum.2024.113219', '10.1016.j.jallcom.2023.171222', '10.1016.j.jallcom.2023.169645', '10.1016.j.matchemphys.2022.125999', '10.1016.j.surfcoat.2023.129757']"
AlCrNbSiTiV,"['10.1016.j.surfcoat.2009.01.016', '10.1016.j.cap.2018.02.015', '10.1016.j.apsusc.2018.01.110', '10.1016.j.tsf.2018.10.023', '10.1016.j.diamond.2021.108486', '10.1016.j.tsf.2009.06.020', '10.1016.j.scriptamat.2009.09.015']"
AlCrNbSiTiVN,"['10.1016.j.tsf.2018.10.023', '10.1016.j.surfcoat.2022.128916']"
AlCrNbTaTiN,"['10.1016.j.actamat.2021.117483', '10.1016.j.ceramint.2022.07.145']"
AlCrNbTiV,"['10.1016.j.jmst.2022.11.054', '10.1016.j.jallcom.2015.08.224', '10.1016.j.jallcom.2018.05.099']"
AlCrNbVMo,"['10.1016.j.jmst.2022.11.054', '10.1016.j.jmst.2020.07.012']"
AlCrNiTiV,"['10.1016.j.ceramint.2022.10.093', '10.1016.j.apsusc.2022.153318']"
AlCrTaTiZr,"['10.1016.j.jallcom.2022.166768', '10.1016.j.surfcoat.2008.01.014', '10.1016.j.tsf.2011.01.043', '10.1016.j.matchemphys.2010.09.016', '10.1016.j.surfcoat.2006.06.048', '10.1016.j.matdes.2024.112664', '10.1016.j.scriptamat.2017.03.014', '10.1016.j.jallcom.2010.11.124', '10.1016.j.surfcoat.2007.01.001', '10.1016.j.tsf.2009.03.078', '10.1016.j.tsf.2009.10.142', '10.1016.j.jallcom.2019.151755', '10.1016.j.jmat.2020.11.010', '10.1016.j.surfcoat.2024.131141']"
AlCrTaTiZrMo,"['10.1016.j.jallcom.2018.03.084', '10.1016.j.jallcom.2018.09.283']"
AlCrTaTiZrN,"['10.1016.j.matchemphys.2010.09.016', '10.1016.j.surfcoat.2022.128916', '10.1016.j.jallcom.2019.151755', '10.1016.j.jmat.2020.11.010']"
AlCrTiNbMo,"['10.1016.j.jallcom.2024.173743', '10.1016.j.vacuum.2022.110928']"
AlCrTiV,"['10.1016.j.jmrt.2024.05.153', '10.1016.j.jmst.2022.11.054', '10.1016.j.jallcom.2021.162712', '10.1016.j.scriptamat.2021.114144', '10.1016.j.surfin.2021.101558', '10.1016.j.triboint.2021.107195']"
AlCrTiVSi,"['10.1016.j.jmst.2022.11.054', '10.1016.j.triboint.2021.107195']"
AlCrTiVZr,"['10.1016.j.apsusc.2020.146529', '10.1016.j.apsusc.2021.150417']"
AlCrTiZrV,"['10.1016.j.tsf.2021.138724', '10.1016.j.vacuum.2020.109706']"
AlCuCrFeMn,"['10.1016.j.ijrmhm.2023.106531', '10.1016.j.jmrt.2022.11.078']"
AlCuCrFeMnW0.05,"['10.1016.j.ijrmhm.2023.106531', '10.1016.j.jmrt.2022.11.078']"
AlCuCrFeMnW0.1,"['10.1016.j.ijrmhm.2023.106531', '10.1016.j.jmrt.2022.11.078']"
AlCuCrFeMnW0.5,"['10.1016.j.ijrmhm.2023.106531', '10.1016.j.jmrt.2022.11.078']"
AlCuFeCrNi,"['10.1016.j.chemphys.2018.10.009', '10.1016.j.physleta.2019.03.031']"
AlCuFeMn,"['10.1016.j.intermet.2021.107215', '10.1016.j.matchemphys.2021.125397']"
AlCuMg,"['10.1016.j.actamat.2021.117240', '10.1016.j.commatsci.2014.03.057']"
AlCuNiFeCr,"['10.1016.j.mtsust.2023.100639', '10.1016.j.ijrmhm.2023.106116', '10.1016.j.jallcom.2019.01.341', '10.1016.j.surfcoat.2020.125443']"
AlCuSiZnFe,"['10.1016.j.mtsust.2023.100639', '10.1016.j.surfcoat.2023.130327', '10.1016.j.msea.2020.140066']"
AlFe,"['10.1016.j.calphad.2023.102644', '10.1016.j.intermet.2020.106897', '10.1016.j.intermet.2021.107434', '10.1016.j.matdes.2017.04.027', '10.1016.j.jallcom.2007.05.104']"
AlFe2B2,"['10.1016.j.jallcom.2015.12.111', '10.1016.j.jallcom.2022.164663']"
AlFe3,"['10.1016.j.calphad.2023.102644', '10.1016.j.intermet.2020.106897']"
AlFeCoCrNi2.1,"['10.1016.j.jallcom.2023.171878', '10.1016.j.jmrt.2022.07.065']"
AlFeCoNi,"['10.1016.j.jmrt.2023.05.002', '10.1016.j.intermet.2020.106897', '10.1016.j.matchar.2024.113996', '10.1016.j.jallcom.2023.168897', '10.1016.j.jallcom.2019.06.121', '10.1016.j.msea.2018.05.013', '10.1016.j.vacuum.2019.03.019']"
AlFeCoNiCr,"['10.1016.j.jallcom.2023.172547', '10.1016.j.apcatb.2019.118431']"
AlFeCoNiCu,"['10.1016.j.msea.2018.11.120', '10.1016.j.jallcom.2021.162413', '10.1016.j.matdes.2017.04.086', '10.1016.j.matdes.2018.07.046']"
AlFeCoNiMo,"['10.1016.j.jmrt.2023.04.167', '10.1016.j.matlet.2019.07.004']"
AlFeCoNiMo0.2,"['10.1016.j.matlet.2019.07.004', '10.1016.j.jallcom.2023.170149', '10.1016.j.jmrt.2023.02.074']"
AlFeCrCo,"['10.1016.j.matdes.2020.108872', '10.1016.j.jmrt.2024.01.108']"
AlFeCrCoNi,"['10.1016.j.jallcom.2017.12.333', '10.1016.j.optlastec.2021.107447', '10.1016.j.matlet.2019.127250', '10.1016.j.mtcomm.2024.108644', '10.1016.j.apsusc.2020.145980']"
AlFeCrMoNb,"['10.1016.j.matchemphys.2024.129149', '10.1016.j.jmrt.2023.11.083']"
AlFeCuCr,"['10.1016.j.intermet.2016.07.001', '10.1016.j.jmrt.2023.07.198', '10.1016.j.matchar.2015.10.025']"
AlFeCuCrMg,"['10.1016.j.intermet.2016.07.001', '10.1016.j.jmrt.2023.07.198', '10.1016.j.matchar.2015.10.025']"
AlFeCuCrMg0.5,"['10.1016.j.intermet.2016.07.001', '10.1016.j.jmrt.2023.07.198', '10.1016.j.matchar.2015.10.025', '10.1016.j.ssc.2017.01.018']"
AlFeCuCrMg1,"['10.1016.j.intermet.2016.07.001', '10.1016.j.jmrt.2023.07.198', '10.1016.j.ssc.2017.01.018']"
AlFeCuCrMg1.7,"['10.1016.j.intermet.2016.07.001', '10.1016.j.jmrt.2023.07.198', '10.1016.j.matchar.2015.10.025', '10.1016.j.ssc.2017.01.018']"
AlFeNi,"['10.1016.j.matdes.2017.04.027', '10.1016.j.scriptamat.2019.11.044']"
AlFeNiCoCuCr,"['10.1016.j.jmst.2020.11.044', '10.1016.j.jallcom.2018.10.081']"
AlHfNbTaTiZr,"['10.1016.j.pmatsci.2020.100714', '10.1016.j.jallcom.2014.11.064', '10.1016.j.actamat.2021.117269']"
AlLiMgTiNb,"['10.1016.j.matchemphys.2022.125834', '10.1016.j.jallcom.2022.165222']"
AlMgScZr,"['10.1016.j.msea.2022.142967', '10.1016.j.ijplas.2023.103852']"
AlMo0.5NbTa0.5TiZr,"['10.1016.j.matdes.2017.11.033', '10.1016.j.actamat.2014.01.029', '10.1016.j.ijrmhm.2022.105812', '10.1016.j.actamat.2024.119824', '10.1016.j.corsci.2023.111203', '10.1016.j.intermet.2024.108257', '10.1016.j.jallcom.2023.169818', '10.1016.j.jallcom.2023.169871', '10.1016.j.jallcom.2023.172045', '10.1016.j.matdes.2022.110593', '10.1016.j.matlet.2022.133748', '10.1016.j.vacuum.2022.111069', '10.1016.j.surfcoat.2024.131036', '10.1016.j.apmt.2023.101747', '10.1016.j.scriptamat.2020.01.028', '10.1016.j.scriptamat.2022.115071']"
AlMo0.5NbTa0.5TiZr0.5,"['10.1016.j.matdes.2017.11.033', '10.1016.j.jallcom.2020.157583']"
AlMoNbSiTaTiVZr,"['10.1016.j.matchemphys.2017.07.078', '10.1016.j.tsf.2007.07.109']"
AlN,"['10.1016.j.jpcs.2018.03.035', '10.1016.j.ceramint.2023.12.245']"
AlNb2TiV,"['10.1016.j.jmst.2022.11.054', '10.1016.j.matlet.2020.129255', '10.1016.j.matlet.2022.132897']"
AlNbTa0.5TiZr0.5,"['10.1016.j.matdes.2017.11.033', '10.1016.j.jallcom.2020.157583']"
AlNbTaTiZr,"['10.1016.j.jallcom.2015.09.118', '10.1016.j.jallcom.2014.09.145']"
AlNbTiV,"['10.1016.j.jallcom.2022.166768', '10.1016.j.jmrt.2022.11.057', '10.1016.j.jmst.2022.11.054', '10.1016.j.jallcom.2015.08.224', '10.1016.j.matchar.2018.07.015', '10.1016.j.jallcom.2018.05.099', '10.1016.j.matchar.2020.110719', '10.1016.j.jnucmat.2022.153630', '10.1016.j.msea.2017.08.019']"
AlNbTiVCr,"['10.1016.j.jallcom.2022.166768', '10.1016.j.jnucmat.2022.153630']"
AlNbTiVCr0.5,"['10.1016.j.jallcom.2022.166768', '10.1016.j.jnucmat.2022.153630']"
AlNbTiVZr,"['10.1016.j.jallcom.2018.05.099', '10.1016.j.msea.2017.08.019', '10.1016.j.jallcom.2024.174878']"
AlNbTiVZr0.25,"['10.1016.j.pmatsci.2020.100714', '10.1016.j.msea.2017.08.019', '10.1016.j.matlet.2021.131584']"
AlNbTiVZr0.5,"['10.1016.j.jallcom.2018.05.099', '10.1016.j.msea.2017.08.019', '10.1016.j.matlet.2015.08.099', '10.1016.j.msea.2018.01.061']"
AlNbTiVZr1.5,"['10.1016.j.jallcom.2018.05.099', '10.1016.j.msea.2017.08.019']"
AlNbTiZr,"['10.1016.j.jallcom.2022.165690', '10.1016.j.surfcoat.2022.128157', '10.1016.j.commatsci.2023.112431', '10.1016.j.intermet.2018.05.015', '10.1016.j.jnucmat.2023.154451', '10.1016.j.jnucmat.2023.154706', '10.1016.j.scriptamat.2022.114624']"
AlNi,"['10.1016.j.calphad.2023.102644', '10.1016.j.intermet.2020.106897', '10.1016.j.jmrt.2023.04.191', '10.1016.j.actamat.2015.11.040']"
AlNi3,"['10.1016.j.calphad.2023.102644', '10.1016.j.jmrt.2023.04.191']"
AlNiCo,"['10.1016.j.jallcom.2018.02.275', '10.1016.j.mseb.2023.116927']"
AlNiCoCuZr,"['10.1016.j.intermet.2024.108292', '10.1016.j.intermet.2023.107975']"
AlNiCoFeCr,"['10.1016.j.jallcom.2022.166771', '10.1016.j.matdes.2017.04.027', '10.1016.j.actamat.2020.07.030', '10.1016.j.vacuum.2023.112144']"
AlNiCuMoCoFe,"['10.1016.j.ijhydene.2024.02.286', '10.1016.j.mtener.2021.100911']"
AlSi,"['10.1016.j.msea.2022.142967', '10.1016.j.jmrt.2023.02.040']"
AlSi10Mg,"['10.1016.j.msea.2022.142967', '10.1016.j.cossms.2022.100992', '10.1016.j.cossms.2022.101055', '10.1016.j.jallcom.2023.171384', '10.1016.j.msea.2022.143468', '10.1016.j.actamat.2021.117240', '10.1016.j.msea.2022.143164', '10.1016.j.ijheatmasstransfer.2020.119591']"
AlSi12,"['10.1016.j.actamat.2021.117240', '10.1016.j.surfcoat.2023.129577']"
AlTi0.45CuZn,"['10.1016.j.intermet.2023.107919', '10.1016.j.matchar.2024.113722']"
AlTiCrNiTa,"['10.1016.j.surfcoat.2019.07.033', '10.1016.j.surfcoat.2021.127228', '10.1016.j.vacuum.2023.112057']"
AlTiCrVZr,"['10.1016.j.ijrmhm.2021.105562', '10.1016.j.ijrmhm.2024.106563']"
AlTiVCr,"['10.1016.j.jmst.2020.11.044', '10.1016.j.pmatsci.2021.100854', '10.1016.j.actamat.2016.10.037', '10.1016.j.actamat.2020.08.005', '10.1016.j.corsci.2018.01.035', '10.1016.j.electacta.2020.137104']"
AlTiVCrNb,"['10.1016.j.actamat.2020.08.005', '10.1016.j.jmrt.2024.01.107']"
AlTiVMoNb,"['10.1016.j.jmst.2020.11.029', '10.1016.j.vacuum.2020.109823']"
Au80Sn20,"['10.1016.j.jallcom.2020.155924', '10.1016.j.jallcom.2020.157823']"
AuCu,"['10.1016.j.jallcom.2022.165585', '10.1016.j.commatsci.2021.110796']"
AuCuNiPdPt,"['10.1016.j.actamat.2019.12.020', '10.1016.j.msea.2023.145772', '10.1016.j.scriptamat.2020.02.007']"
AuNiPdPt,"['10.1016.j.msea.2023.145772', '10.1016.j.scriptamat.2020.02.007']"
Bi2Te3,"['10.1016.j.jmat.2024.02.014', '10.1016.j.jallcom.2018.11.098']"
BiSbTe1.5Se1.5,"['10.1016.j.jallcom.2021.159743', '10.1016.j.matlet.2020.127672']"
C0.25Hf0.25NbTaW0.5,"['10.1016.j.apmt.2023.101747', '10.1016.j.jmst.2021.05.015']"
Ca3Co4O9,"['10.1016.j.jallcom.2019.06.113', '10.1016.j.jallcom.2023.172904']"
Ce2Fe15.3Mn1.7,"['10.1016.j.jallcom.2011.04.043', '10.1016.j.jallcom.2013.02.116']"
Ce2Fe15.7Mn1.3,"['10.1016.j.jallcom.2011.04.043', '10.1016.j.jallcom.2013.02.116']"
Ce2Fe16.25Mn0.75,"['10.1016.j.jallcom.2011.04.043', '10.1016.j.jallcom.2013.02.116']"
Ce2Fe16.5Mn0.5,"['10.1016.j.jallcom.2011.04.043', '10.1016.j.jallcom.2013.02.116']"
Ce2Fe16.65Mn0.35,"['10.1016.j.jallcom.2011.04.043', '10.1016.j.jallcom.2013.02.116']"
Ce2Fe17,"['10.1016.j.jallcom.2011.04.043', '10.1016.j.jallcom.2013.02.116', '10.1016.j.jallcom.2022.168060']"
Co0.2Cr0.2Fe0.2Mn0.2Ni0.2,"['10.1016.j.jallcom.2019.153278', '10.1016.j.jmrt.2022.07.023', '10.1016.j.msea.2018.11.009', '10.1016.j.msea.2020.139547']"
Co0.2Cu0.2Mg0.2Ni0.2Zn0.2,"['10.1016.j.est.2023.107419', '10.1016.j.mtadv.2020.100102', '10.1016.j.jallcom.2024.174480', '10.1016.j.jmmm.2019.04.023']"
Co0.2Cu0.2Mg0.2Ni0.2Zn0.2O,"['10.1016.j.est.2023.107419', '10.1016.j.mtadv.2020.100102']"
Co0.5CrCuFeMnNi,"['10.1016.j.micron.2020.102995', '10.1016.j.jmmm.2018.07.072', '10.1016.j.rinp.2019.102667']"
Co0.95Cr0.8Fe0.25Ni1.8Mo0.475,"['10.1016.j.msea.2021.142295', '10.1016.j.mtphys.2024.101468', '10.1016.j.scriptamat.2022.115260']"
Co1.5CrCuFeMnNi,"['10.1016.j.micron.2020.102995', '10.1016.j.jmmm.2018.07.072']"
Co1.5CrFeNi1.5Ti,"['10.1016.j.actamat.2011.06.041', '10.1016.j.pmatsci.2013.10.001', '10.1016.j.jallcom.2022.165469']"
Co1.5CrFeNi1.5Ti0.5,"['10.1016.j.jmst.2020.11.044', '10.1016.j.jallcom.2015.09.042', '10.1016.j.actamat.2011.06.041', '10.1016.j.jallcom.2020.157521', '10.1016.j.wear.2020.203595']"
Co1.5CrFeNi1.5Ti0.5Mo0.1,"['10.1016.j.jmst.2020.11.044', '10.1016.j.jmst.2018.09.002', '10.1016.j.jmst.2020.11.029', '10.1016.j.msea.2023.145938', '10.1016.j.addma.2018.10.023', '10.1016.j.corsci.2010.06.025', '10.1016.j.matlet.2016.11.026', '10.1016.j.msea.2022.142970']"
Co10Cr10Fe10Mn10Ni60,"['10.1016.j.actamat.2019.06.050', '10.1016.j.actamat.2020.05.037', '10.1016.j.scriptamat.2018.09.011']"
Co16.67Fe36.67Ni16.67Ti30,"['10.1016.j.commatsci.2021.110942', '10.1016.j.actamat.2016.12.011', '10.1016.j.actamat.2021.117012', '10.1016.j.intermet.2020.106844', '10.1016.j.vacuum.2023.112124']"
Co16Fe28Ni28Cr28,"['10.1016.j.mtcomm.2021.102503', '10.1016.j.msea.2017.11.058']"
Co17.5Cr12.5Fe55Ni10Mo5,"['10.1016.j.intermet.2021.107212', '10.1016.j.jallcom.2018.12.040', '10.1016.j.mattod.2021.08.001']"
Co18Cr12.5Fe55Ni7Mo7.5,"['10.1016.j.jallcom.2018.12.040', '10.1016.j.jmrt.2023.07.007']"
Co19.9Cr19.9Fe19.9Mn19.9Ni19.9C0.5,"['10.1016.j.corsci.2022.110357', '10.1016.j.msea.2019.138114', '10.1016.j.addma.2024.104223']"
Co1Cr0.25Fe1Mn1Ni1,"['10.1016.j.jallcom.2019.152000', '10.1016.j.jallcom.2020.156839']"
Co2.0CrCuFeMnNi,"['10.1016.j.jmmm.2018.07.072', '10.1016.j.rinp.2019.102667']"
Co20.09Cr19.66Fe20.41Mn20.89Ni18.95,"['10.1016.j.msea.2017.08.065', '10.1016.j.msea.2017.12.059', '10.1016.j.msea.2020.139315']"
Co20Cr20Cu20Fe20Ni20,"['10.1016.j.jallcom.2014.04.094', '10.1016.j.jmst.2017.11.007', '10.1016.j.msea.2022.143619']"
Co20Cr20Fe20Mn20Ni20,"['10.1016.j.jallcom.2023.170826', '10.1016.j.msea.2021.142281', '10.1016.j.actamat.2019.06.050', '10.1016.j.scriptamat.2018.09.011', '10.1016.j.jmst.2018.10.009', '10.1016.j.jallcom.2021.163483', '10.1016.j.msea.2019.138192', '10.1016.j.jallcom.2021.163217', '10.1016.j.msea.2017.12.059', '10.1016.j.msea.2018.08.038', '10.1016.j.intermet.2016.09.003', '10.1016.j.msea.2022.143720', '10.1016.j.actamat.2016.02.049', '10.1016.j.actamat.2020.10.066', '10.1016.j.actamat.2022.118516', '10.1016.j.addma.2019.06.012', '10.1016.j.ijfatigue.2021.106513', '10.1016.j.jallcom.2017.03.352', '10.1016.j.jallcom.2019.04.296', '10.1016.j.jmrt.2022.10.099', '10.1016.j.jmrt.2023.06.112', '10.1016.j.matchar.2024.113737', '10.1016.j.matdes.2023.112289', '10.1016.j.msea.2018.02.087', '10.1016.j.msea.2021.141681', '10.1016.j.msea.2022.142718', '10.1016.j.msea.2023.145656', '10.1016.j.actamat.2017.07.023', '10.1016.j.intermet.2019.106605', '10.1016.j.jallcom.2021.159505', '10.1016.j.jmrt.2023.12.215']"
Co20Cr20Fe20Ni20Cu20,"['10.1016.j.ijrmhm.2015.08.010', '10.1016.j.jallcom.2019.06.225']"
Co20Cr20Fe20Ni20Mn20,"['10.1016.j.jmst.2020.10.060', '10.1016.j.actamat.2022.118281', '10.1016.j.jmrt.2023.09.313', '10.1016.j.jnoncrysol.2022.121458', '10.1016.j.matdes.2022.111575', '10.1016.j.matlet.2021.129359', '10.1016.j.matlet.2024.136643', '10.1016.j.msea.2016.08.118', '10.1016.j.msea.2017.08.083']"
Co20Cr26Fe20Mn20Ni14,"['10.1016.j.jmrt.2022.11.057', '10.1016.j.jallcom.2023.170025', '10.1016.j.matlet.2017.05.065', '10.1016.j.mtcomm.2023.107678']"
Co20Cu20Fe20Ni20Ti20,"['10.1016.j.pmatsci.2017.06.004', '10.1016.j.msea.2016.04.006']"
Co22Cr18Cu20Mn16Ti24,"['10.1016.j.mtcomm.2019.100658', '10.1016.j.matchemphys.2019.122188']"
Co24.5Cr25.3Fe25.7Ni24.5,"['10.1016.j.calphad.2021.102388', '10.1016.j.jallcom.2021.162711']"
Co24Cr24Fe24Ni24Mo4,"['10.1016.j.jmst.2021.02.060', '10.1016.j.msea.2022.143586']"
Co24Cr24Fe24Ni24Ti4,"['10.1016.j.msea.2022.143971', '10.1016.j.jmst.2021.02.060']"
Co25Cr20Fe25Ni25V5,"['10.1016.j.jallcom.2021.161579', '10.1016.j.jmrt.2024.03.164']"
Co25Cr25Fe25Ni25,"['10.1016.j.jallcom.2023.170826', '10.1016.j.matdes.2021.109849', '10.1016.j.jmst.2021.11.025', '10.1016.j.matdes.2022.111391', '10.1016.j.actamat.2020.10.066', '10.1016.j.ijplas.2022.103443', '10.1016.j.wear.2023.205032', '10.1016.j.msea.2021.140898', '10.1016.j.actamat.2024.120073', '10.1016.j.intermet.2021.107445', '10.1016.j.matchar.2019.06.015', '10.1016.j.matchar.2020.110807', '10.1016.j.matchar.2022.112420', '10.1016.j.matdes.2023.111626', '10.1016.j.msea.2020.139277', '10.1016.j.msea.2023.145785', '10.1016.j.msea.2024.146995', '10.1016.j.intermet.2024.108336']"
Co25Cu25Fe25Ni25,"['10.1016.j.jallcom.2022.167679', '10.1016.j.msea.2020.140218', '10.1016.j.jallcom.2022.166999', '10.1016.j.ijrmhm.2021.105572']"
Co25Fe25Mn5Ni25Ti20,"['10.1016.j.jallcom.2019.153609', '10.1016.j.matchar.2022.112305']"
Co25Ni25Fe25Al7.5Cu17.5,"['10.1016.j.actamat.2016.01.050', '10.1016.j.actamat.2018.01.002', '10.1016.j.ijplas.2020.102819', '10.1016.j.ijplas.2023.103730', '10.1016.j.matlet.2024.136940']"
Co29Cr29Fe29Ni12.5W0.5,"['10.1016.j.msea.2020.140548', '10.1016.j.msea.2021.141446']"
Co2Cr2Fe2Mn2Ni92,"['10.1016.j.actamat.2019.06.050', '10.1016.j.actamat.2020.05.037', '10.1016.j.scriptamat.2018.09.011']"
Co2Mo0.5Ni2VW0.5,"['10.1016.j.matchar.2018.07.030', '10.1016.j.matdes.2016.07.113']"
Co2Mo0.8Ni2VW0.8,"['10.1016.j.matchar.2018.07.030', '10.1016.j.jallcom.2023.169624', '10.1016.j.matdes.2016.07.113']"
Co2Mo1.5Ni2VW1.5,"['10.1016.j.matchar.2018.07.030', '10.1016.j.matdes.2016.07.113']"
