Figure ID,Figure Path,Figure Label,Figure Caption
f0005,articles_all/10.1016.j.actamat.2014.01.029/figures/gr1.jpg,Fig. 1,X-ray diffraction patterns of the annealed cast alloys: (a) AlMo0.5NbTa0.5TiZr and (b) Al0.4Hf0.6NbTaTiZr.
f0010,articles_all/10.1016.j.actamat.2014.01.029/figures/gr2.jpg,Fig. 2,Engineering stress–strain compression curves of annealed: (a) AlMo0.5NbTa0.5TiZr and (b) Al0.4Hf0.6NbTaTiZr alloys tested at different temperatures in air (T=296K) and vacuum (T=1073–1473K).
f0015,articles_all/10.1016.j.actamat.2014.01.029/figures/gr3.jpg,Fig. 3,"Comparison of the yield strength of the AlMo0.5NbTa0.5TiZr, CrMo0.5NbTa0.5TiZr, Al0.4Hf0.6NbTaTiZr and HfNbTaTiZr alloys tested atT=296K, 1073K, 1273K and 1473K."
f0020,articles_all/10.1016.j.actamat.2014.01.029/figures/gr4.jpg,Fig. 4,Backscatter electron images of the microstructure of the annealed AlMo0.5NbTa0.5TiZr alloy: (a) equiaxed grain structure with dark-color second-phase particles precipitated at grain boundaries; (b) basket-like lamellar structure inside grains and at grain boundaries. Numbers and respective arrows indicate typical regions used for chemical analysis (seeTable 6).
f0025,articles_all/10.1016.j.actamat.2014.01.029/figures/gr5.jpg,Fig. 5,(a) Equiaxed grain structure of the annealed Al0.4Hf0.6NbTaTiZr alloy; (b) sub-grain structure inside the grains revealed after slight etching.
f0030,articles_all/10.1016.j.actamat.2014.01.029/figures/gr6.jpg,Fig. 6,"Backscatter electron images of the microstructure of the AlMo0.5NbTa0.5TiZr alloy after compression deformation at 1000°C: (a) low-magnification image showing deformed grains and dark-color second-phase particles at grain boundaries; (b) a junction of three grains with different fine morphologies of the two phases inside the grains; (c,d) two-phase basket-like structure inside the grains. Numbers and respective arrows indicate typical regions used for chemical analysis (seeTable 7)."
f0035,articles_all/10.1016.j.actamat.2014.01.029/figures/gr7.jpg,Fig. 7,Backscatter electron images of the microstructure of the Al0.4Hf0.6NbTaTiZr alloy after compression deformation at 1000°C: (a and b) deformed grains with (a) characteristic channeling contrast bands inside the grains due to crystal lattice distortions and (b) deformation bands crossing a grain boundary; (c) fine recrystallized grains formed at grain boundaries; (d) a higher magnification image shows the presence of nano-precipitates at the boundaries of the recrystallized grains.
f0040,articles_all/10.1016.j.actamat.2014.01.029/figures/gr8.jpg,Fig. 8,X-ray diffraction patterns of the (a) AlMo0.5NbTa0.5TiZr and (b) Al0.4Hf0.6NbTaTiZr alloys after 50% compression deformation at 1273K.
f0045,articles_all/10.1016.j.actamat.2014.01.029/figures/gr9.jpg,Fig. 9,"Simulated solidification curves for the (a) AlMo0.5NbTa0.5TiZr, (b) Al0.4Hf0.6NbTaTiZr, (c) CrMo0.5NbTa0.5TiZr and (d) HfNbTaTiZr alloys."
f0050,articles_all/10.1016.j.actamat.2014.01.029/figures/gr10.jpg,Fig. 10,"Simulated equilibrium phase diagrams for the (a) AlMo0.5NbTa0.5TiZr, (b) Al0.4Hf0.6NbTaTiZr, (c) CrMo0.5NbTa0.5TiZr and (d) HfNbTaTiZr alloys."
