Figure ID,Figure Path,Figure Label,Figure Caption
f0005,articles_all/10.1016.j.jallcom.2012.11.146/figures/gr1.jpg,Fig. 1,XRD patterns of CoNiFeCrAl0.6Ti0.4high entropy alloy powder with different milling time.
f0010,articles_all/10.1016.j.jallcom.2012.11.146/figures/gr2.jpg,Fig. 2,XRD pattern of CoNiFeCrAl0.6Ti0.4high entropy alloy after SPS.
f0015,articles_all/10.1016.j.jallcom.2012.11.146/figures/gr3.jpg,Fig. 3,"SEM images of CoFeNiCrAl0.6Ti0.4high entropy alloy after SPS. (a) Low-magnified image, (b) high-magnified image."
f0020,articles_all/10.1016.j.jallcom.2012.11.146/figures/gr4.jpg,Fig. 4,"TEM images and SAED patterns of CoFeNiCrAl0.6Ti0.4high entropy alloy after SPS. (a)Bright field image, (b) SAED pattern of region E (FCC1 phase) along [011] zone axis, (c) SAED pattern of region B (FCC2 phase) along [112] zone axis, (d) SAED pattern of region V (BCC phase) along [158] zone axis, (e) SAED pattern of twinned FCC1 phase (region A) alongZM=[011]MandZT=[01¯1¯]Tzone axes."
f0025,articles_all/10.1016.j.jallcom.2012.11.146/figures/gr5.jpg,Fig. 5,"TEM microstructures and SAED patterns of twinned FCC1 phase. (a) Twinned FCC1 grains with corresponding SAED pattern alongZM=[011]MandZT=[01¯1¯]Tzone axes, (b) a twinned FCC1 grain with corresponding SAED pattern alongZM=[011]MandZT=[01¯1¯]Tzone axes."
f0030,articles_all/10.1016.j.jallcom.2012.11.146/figures/gr6.jpg,Fig. 6,Stress–strain curve of CoFeNiCrAl0.6Ti0.4high entropy alloy under compression at room temperature.
f0035,articles_all/10.1016.j.jallcom.2012.11.146/figures/gr7.jpg,Fig. 7,"Fracture surfaces of CoFeNiCrAl0.6Ti0.4high entropy alloy. (a) Compound fracture morphology, (b) slip fracture morphology."
f0040,articles_all/10.1016.j.jallcom.2012.11.146/figures/gr8.jpg,Fig. 8,DSC curve of CoFeNiCrAl0.6Ti0.4high entropy alloy powder ball milled 49h.
f0045,articles_all/10.1016.j.jallcom.2012.11.146/figures/gr9.jpg,Fig. 9,"Schematic diagram of assumption I for deformation twinning. (a) Forty-nine hours ball milled solid solution, (b) after SPS."
f0050,articles_all/10.1016.j.jallcom.2012.11.146/figures/gr10.jpg,Fig. 10,"Schematic diagram of assumption II for deformation twinning. (a) Forty-nine hours ball milled solid solution, (b) after SPS."
