Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_test/10.1016.j.actamat.2018.01.050/figures/gr1.jpg,Fig. 1,"XRD patterns from the as-cast Al2M14and Al3M14HEAs, in which M represents different mutations of transition metals of Ni, Co, Fe and Cr."
fig2,articles_test/10.1016.j.actamat.2018.01.050/figures/gr2.jpg,Fig. 2,"OM micrographs of the as-cast Al2M14HEAs, (a) M1111, (b) M4433, (c) M1121, and (d) M1112; and Al3M14HEA (e)."
fig3,articles_test/10.1016.j.actamat.2018.01.050/figures/gr3.jpg,Fig. 3,"TEM images of the as-cast M4433(a, b), in which the dark-field image of the BCC/B2 region shows that BCC particles are embedded in the B2 matrix; (c): SEM image of the coarse columnar dendrites in M1121, in which nanoparticles are identified by the dark-field TEM analysis (d) as the cuboidal B2 particles in BCC matrix; (e): SEM image of M1112, showing the cuboidal particles are distributed in the matrix, which are identified by the dark-field TEM analysis (f) as cuboidal B2 particles in BCC matrix; (g): SEM image of Al3M14HEA showing a weave-like morphology."
fig4,articles_test/10.1016.j.actamat.2018.01.050/figures/gr4.jpg,Fig. 4,"HRTEM images of M1121alloy. (a): A HRTEM image showing the interfaces between the BCC matrix and two B2 particles with FFT patterns of B2 (b), BCC (c) and B2 (d), respectively; (e): A high-magnification HRTEM image caught from (a), showing details of the BCC/B2 interface; (f): Diagrammatic sketch of (e)."
fig5,articles_test/10.1016.j.actamat.2018.01.050/figures/gr5.jpg,Fig. 5,The elemental distribution in the BCC/B2 region of M1121alloy mapped with STEM.
fig6,articles_test/10.1016.j.actamat.2018.01.050/figures/gr6.jpg,Fig. 6,"Engineering tensile (a) and true compressive (b) stress-strain curves of Al2M14and Al3M14HEAs. TEM morphologies of M1121after tension and M1112after compression are shown in (c) and (d), respectively."
fig7,articles_test/10.1016.j.actamat.2018.01.050/figures/gr7.jpg,Fig. 7,"Variations of compressive yield strength σyc, microhardnessHVand crystal structures withVECof the designed HEAs."
fig8,articles_test/10.1016.j.actamat.2018.01.050/figures/gr8.jpg,Fig. 8,"SEM fractographies of various HEAs after tension, including M1112(a), Al3M14(b), M1111(c) and M1121(d)."
fig9,articles_test/10.1016.j.actamat.2018.01.050/figures/gr9.jpg,Fig. 9,"SEM images of M1112annealed at 673 K (a), 873 K (b), 973 K (c), and 1073 K (d) for 2 h, respectively."
fig10,articles_test/10.1016.j.actamat.2018.01.050/figures/gr10.jpg,Fig. 10,XRD patterns (a) and microhardnessHV(b) of M1112annealed at different temperatures.
fig11,articles_test/10.1016.j.actamat.2018.01.050/figures/gr11.jpg,Fig. 11,"Computations of (ΔσCS+ΔσMS) andΔσorowanas a function of particle sizerfor the present M1121, M1112HEAs and another precipitation-hardened HEA [10]. The optimal particle sizes (r0) are marked for each alloy."
