Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_test/10.1016.j.jallcom.2016.09.208/figures/gr1.jpg,Fig. 1,Structure of the CoCrFeNiMn-1(at.%)C alloy in initial homogenized condition: a – XRD pattern; b – EBSD IPF map.
fig2,articles_test/10.1016.j.jallcom.2016.09.208/figures/gr2.jpg,Fig. 2,"EBSD IPF maps of the CoCrFeNiMn-1(at.%)C alloy after cold rolling to thickness strain of: (a) 25%; (b) 40%; (c) 60%; (d) 80%. Rolling direction is horizontal. The corresponding color-coded inverse pole figure is given inFig. 1b. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)"
fig3,articles_test/10.1016.j.jallcom.2016.09.208/figures/gr3.jpg,Fig. 3,TEM bright-field images of CoCrFeNiMn-1(at.%)C alloy after cold rolling with thickness strains of: (а) 5%; (b) 15%; (c) 25%; (d) 40%; (e) 60%; (f) 80%. Rolling direction is identified with an arrow.
fig4,articles_test/10.1016.j.jallcom.2016.09.208/figures/gr4.jpg,Fig. 4,The dependencies of (a) – dislocation density; (b) fraction of twinned grains of the CoCrFeNiMn-1(at.%)C alloy on thickness strain. The comparison with literature data on the CoCrFeNiMn alloy is also given. Note the different methods used to measure dislocation density in the alloys.
fig5,articles_test/10.1016.j.jallcom.2016.09.208/figures/gr5.jpg,Fig. 5,"EBSD IPF maps of the CoCrFeNiMn-1(at.%)C alloy after cold rolling to 80% thickness strain with subsequent annealing at: (а) 600°С, (b) 700°С, (c) 800°С, (d) 900°С, (e) 1000°С, (f) 1100°С. The corresponding color-coded inverse pole figure is given inFig. 1b. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)"
fig6,articles_test/10.1016.j.jallcom.2016.09.208/figures/gr6.jpg,Fig. 6,"Dependencies of the (a) mean recrystallized grain size; (b) fraction of twin boundaries (TB) in the CoCrFeNiMn-1(at.%)C alloy on annealing temperature. The comparison with the literature data on the CoCrFeNiMn alloy is also given. Note the different processing conditions used in Refs.[18,27,29]: rolling to 87% thickness strain and 1-h annealing in Ref.[18], rolling to 84% thickness strain and 1-h annealing in Ref.[27]and rolling to 90% thickness strain and 1-h annealing in Ref.[29]."
fig7,articles_test/10.1016.j.jallcom.2016.09.208/figures/gr7.jpg,Fig. 7,TEM bright-field image of the CoCrFeNiMn-1(at.%)C alloy after cold rolling to 80% thickness strain and subsequent annealing at 800 °C; the corresponding selected area electron diffraction pattern is inserted.
fig8,articles_test/10.1016.j.jallcom.2016.09.208/figures/gr8.jpg,Fig. 8,Dependencies of Vickers microhardness of the CoCrFeNiMn-1(at.%)C alloy on: (a) rolling strain; (b) subsequent annealing temperature. The comparison with literature data on the CoCrFeNiMn alloy is also given. Note the different annealing conditions used in Ref.[21]: the annealing time was 1 h.
fig9,articles_test/10.1016.j.jallcom.2016.09.208/figures/gr9.jpg,Fig. 9,"Engineering stress-strain curves obtained during tensile testing of the CoCrFeNiMn-1(at.%)C alloy after cold rolling to 80% thickness strain and subsequent annealing at 700 °C, 800 °C, 900 °C and 1100 °C."
fig10,articles_test/10.1016.j.jallcom.2016.09.208/figures/gr10.jpg,Fig. 10,"Analysis of mechanical properties of the CoCrFeNiMn-1(at.%)C alloy: (a) the Hall-Petch dependencies of the yield strength, YS, on grain size in the CoCrFeNiMn-1(at.%)C alloy after cold rolling and subsequent annealing; (b) the relationship between the ultimate tensile strength and yield strength difference and uniform elongation values in different conditions. The comparison with literature data on the CoCrFeNiMn alloy is also given."
