Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr1.jpg,Fig. 1,XRD pattern of AlxCoCrFeNi HEA system.
fig2,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr2.jpg,Fig. 2,"Microstructure of DLF (a–c) Al0.3, (d–f) Al0.6and (g–i) Al0.85alloys longitudinal to the solidification direction (SD) and cross-section (CS) of the deposited columns. HM represents micrographs at high magnification."
fig3,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr3.jpg,Fig. 3,"Graphical representation of the volume fraction of various phases (FCC, BCC and B2) (with error bars) in the Al0.3, Al0.6and Al0.85HEAs."
fig4,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr4.jpg,Fig. 4,Nano-indentation of Al0.85alloy: SEM micrographs of the nano-indents on (a) BCC phase and (b) B2 phase; (c) load displacement curves of BCC and B2 phases in nano-indentation test; and (d) the histogram of the nano-hardness values fitted with Gaussian curves for the constituent phases.
fig5,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr5.jpg,Fig. 5,"Tensile and compressive flow curves of (a) FCC-Al0.3alloy (re-plotted from previous publication[18]), (b) dual-phase Al0.6alloy and (c) BCC Al0.85alloy."
fig6,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr6.jpg,Fig. 6,"Micrographs of compression deformed Al0.3to a true strain of 1.0: (a) EBSD map (grey scale band contrast, boundaries within 5° of the twin orientation have been highlighted in yellow) and (b) TEM micrograph of deformation twins. Micrographs of tensile deformed Al0.3to a true strain of 0.38: (c) EBSD map showing no signs of twinning and (c) TEM micrographs showing deformation by slip[18]. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)"
fig7,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr7.jpg,Fig. 7,"Micrographs of compression deformed Al0.6to a true strain of 0.48: (a) SEM micrograph showing deformed microstructure; (b) TEM micrograph of dislocation activities in the FCC phase (showing mechanical twins) (c) EBSD-IPF map (grey scale band contrast, boundaries within 5° of the twin orientation have been highlighted in yellow) and (d) phase map. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)"
fig8,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr8.jpg,Fig. 8,"Micrographs of tensile deformed Al0.6to a true strain of 0.27: (a) Macrostructure of tensile failed sample; (b) SEM micrographs showing deformed microstructure and (c) tensile fracture surface; (d) EBSD-IPF map (grey scale band contrast, boundaries within 5° of the twin orientation have been highlighted in yellow) and (e) phase map. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)"
fig9,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr9.jpg,Fig. 9,"Micrographs of tensile deformed Al0.85alloy: (a) macrostructure of the failed sample, SEM micrographs showing (b) primary crack normal to the tensile loading direction, (c) secondary cracks close to the primary crack and (d) fracture surface showing brittle characteristics. (e) SEM micrograph of Al0.85alloy after a compressive true strain of 0.20 showing slip lines in the deformed microstructure."
fig10,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr10.jpg,Fig. 10,(a) Optical micrograph and (b) EBSD map of compression deformed Al0.85alloy to a true strain of 0.05 (slip trace analysis of grains A and B is shown inFig. 11).
fig11,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr11.jpg,Fig. 11,Optical micrograph of slip lines in the compression deformed Al0.85alloy to a true strain of 0.05 and corresponding slip trace on the stereographic projection of (a) grain A and (b) grain B fromFig. 10.
fig12,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr12.jpg,Fig. 12,Dislocation density of FCC-Al0.3and BCC-Al0.85alloy as a function of true strain (Single column fitting image).
fig13,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr13.jpg,Fig. 13,"Dislocation density of 304SS, 316SS, TWIP steel and FCC-Al0.3high entropy alloy as a function of true stress."
fig14,articles_test/10.1016.j.jallcom.2017.08.067/figures/gr14.jpg,Fig. 14,Scaling factor for converting the hardness to an approximate strength level based on the yield strength and hardness of fully martensitic steel and a fully ferritic steel.
