Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_test/10.1016.j.actamat.2018.05.009/figures/gr1.jpg,Fig. 1,A schematic showing the two different processing routes adopted for processing the Al0.3CoCrFeNi alloy.
fig2,articles_test/10.1016.j.actamat.2018.05.009/figures/gr2.jpg,Fig. 2,"90% Cold rolled Al0.3CoCrFeNi alloy: (A) BSED image showing the strained microstructure. (B) Inverse Pole Figure (IPF) map from the region marked by a white box in (A) (C) High magnification IPF from the region highlighted by a red colored box shown in (B). Inset of (D) shows the mis-orientation angle profile across the red arrow in the figure (C). (D and E) TEM results from CR 90% condition: (D) shows the BFTEM image with the SADP from [001]fccand [1-1-2]fccshown as the inset on left and right respectively. (E) High magnification image showing the twin faults in the matrix. Inset of the image shows the SADP from [011]fcczone showing mirror symmetry about the yellow dotted lines. (For interpretation of the references to color in this figure legend, the reader is referred to the Web version of this article.)"
fig3,articles_test/10.1016.j.actamat.2018.05.009/figures/gr3.jpg,Fig. 3,Cold rolled (90%) plus Solutionized (1150 °C/2 min) Al0.3CoCrFeNi alloy (CRSA): (A) BSED image showing the recrystallized grain structure. (B) SADP from [011]fccZA showing the fundamentalfccdiffraction spots. (C) APT reconstruction showing a homogeneous distribution of all ions.
fig4,articles_test/10.1016.j.actamat.2018.05.009/figures/gr4.jpg,Fig. 4,(CRSA-620): (A and B) SADP from [001]fccZA from two different regions(C) SADP from [011]fccZA showing the super-lattice spots corresponding to the ordered L12phase. (D) Dark field image made from the superlattice spot highlighted in (A) showing the lighted-up L12precipitates.
fig5,articles_test/10.1016.j.actamat.2018.05.009/figures/gr5.jpg,Fig. 5,"(CRSA-620): (A and B) SADP patterns from [1-1-2]fcc and[-111]fccrespectively, showing the presence of an extra spots corresponding to an additional new phase apart from the ordered L12in the matrix."
fig6,articles_test/10.1016.j.actamat.2018.05.009/figures/gr6.jpg,Fig. 6,(CRSA-620): (A) Atomic resolution TEM image showing thefcc+ L12phase atomic columns and (B) the corresponding FFT image. (C) atomic resolution TEM image from the region consisting offcc+ new ordered phase and (D) the corresponding FFT image.
fig7,articles_test/10.1016.j.actamat.2018.05.009/figures/gr7.jpg,Fig. 7,(CRSA-620): (A) STEM image (B–F) STEM EDS maps for various elements as labeled.
fig8,articles_test/10.1016.j.actamat.2018.05.009/figures/gr8.jpg,Fig. 8,(CRSA-620): (A) DFTEM and APT reconstruction from the inter-granular region showing the alignment of the L12precipitates (B) Al iso-surface (gray color) highlighting the nano precipitates (C) proximity histogram across the interface between the precipitates andfccmatrix showing the compositional partitioning.
fig9,articles_test/10.1016.j.actamat.2018.05.009/figures/gr9.jpg,Fig. 9,Synchrotron XRD results from CRSA-620 condition whilein situheating and cooling of the sample.
fig10,articles_test/10.1016.j.actamat.2018.05.009/figures/gr10.jpg,Fig. 10,CRSA-620:fcclattice parameter vs temperature while heating to 1000 °C and cooling to room temperature.
fig11,articles_test/10.1016.j.actamat.2018.05.009/figures/gr11.jpg,Fig. 11,CRSA-620 - Grain boundary: (A)OIM: IPF map (B)OIM: phase map (C) BSED image showing the dark contrast grain boundary precipitate (inset shows the higher magnification BSED image from the grain boundary) (D) STEM image with the SADP as the inset from the grain boundary phase consistently indexed as an ordered bcc (B2) phase. (E–I) compositional maps from the grain boundary region. B2 is rich in Al and Ni.
fig12,articles_test/10.1016.j.actamat.2018.05.009/figures/gr12.jpg,Fig. 12,"Cold rolled (90%) plus annealed at 620 °C for 50 h(without high temperature recrystallization)(CR-620): (A)OIM: IPF map (B)OIM: phase map (C–F) compositional maps clearly showing partitioning in sigma (σ), B2 andfccphases."
fig13,articles_test/10.1016.j.actamat.2018.05.009/figures/gr13.jpg,Fig. 13,"TEM results from CR-620: (A) STEM image, inset (SADP from [011] fcc grain), (B) SADP from [011]B2zone axis. (C) and (D) SADP from [011]σand [001]σ. (E) STEM EDS maps for Ni(cyan) Al (red), Fe (purple) and Cr (blue) as labeled in the figure. (For interpretation of the references to color in this figure legend, the reader is referred to the Web version of this article.)"
fig14,articles_test/10.1016.j.actamat.2018.05.009/figures/gr14.jpg,Fig. 14,APT from CR-620 (A) reconstructions from two different tips (B) proximity histogram from σ-B2 interface showing the compositional partitioning.
fig15,articles_test/10.1016.j.actamat.2018.05.009/figures/gr15.jpg,Fig. 15,Stress-strain curve from three different heat treatment conditions from Al0.3CoCrFeNi alloy.
fig16,articles_test/10.1016.j.actamat.2018.05.009/figures/gr16.jpg,Fig. 16,Schematic showing the two different transformation pathways based on heat treatments resulting in starkly different microstructures.
fig17,articles_test/10.1016.j.actamat.2018.05.009/figures/gr17.jpg,Fig. 17,"(A) Calculated isopleth of the AlxCoCrFeNi with x = 0–1, (B) calculated molar fraction of equilibrium phases as a function of the temperature for the Al0.3CoCrFeNi alloy composition. The dotted lines show the temperature of 620 °C and the composition of Al0.3CoCrFeNi."
fig18,articles_test/10.1016.j.actamat.2018.05.009/figures/gr18.jpg,Fig. 18,"(A) Onset driving forces and (B) range of normalized nucleation barriers for homogenous precipitation of L12, B2, bcc and σ phases from the supersaturatedfccsolid solution with Al0.3CoCrFeNi composition. The dotted line indicates the temperature of 620 °C."
