Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_test/10.1016.j.actamat.2017.07.041/figures/egi10CJWXGN3M7.jpg,Fig. 1,"(a) XRD pattern and (b) EBSD mapping of AlCoCrFeNi2.1alloy. The FCC(L12) and BCC(B2) phases, phase boundaries and high-angle grain boundaries are marked in cyan, yellow, black and red colors, respectively. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)"
fig2,articles_test/10.1016.j.actamat.2017.07.041/figures/egi10LZ621ZZ3J.jpg,Fig. 2,Tensile stress-strain curves of the AlCoCrFeNi2.1alloy.
fig3,articles_test/10.1016.j.actamat.2017.07.041/figures/egi10RC54JZFQB.jpg,Fig. 3,"(a) Bright-field image of the tensile tested FCC(L12)/BCC(B2) lamellar structure with zone axis of [110] for FCC(L12) and [001] for BCC(B2); (b) and (c) the SAEDs corresponding to the L12and B2 phases, respectively. Super-lattice diffraction spots are indicated by cyan and yellow circles, respectively; (d) magnified image of region “A” in (a) showing the parallel dislocation arrays and SFs; (e) magnified image of region “B” in (a) showing (111) slip traces. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)"
fig4,articles_test/10.1016.j.actamat.2017.07.041/figures/egi10X9N5NVK06.jpg,Fig. 4,"Bright-field TEM image of the tensile tested EHEA specimen from an alternative region: (a) TEM image with low magnification; (b) magnified TEM image of region “C” in (a) showing two intersected {111} slip traces with zone axis of [110], the inset is the SAED corresponding to the L12phase; (c) and (d) magnified images of region “D” in (a) showing nano-precipitates in BCC(B2) phase with zone axis of [001], the inset is the SAED corresponding to the B2 phase."
fig5,articles_test/10.1016.j.actamat.2017.07.041/figures/egi103VXJ8SWTG.jpg,Fig. 5,"Bright-field TEM images of the deformed BCC(B2) phase: (a) TEM image showing two crossed slip bands at [001] zone axis, the inset is the SAED corresponding to the B2 phase; (b) TEM image showing arrow-shaped dislocations."
fig6,articles_test/10.1016.j.actamat.2017.07.041/figures/egi104FXCWD9DH.jpg,Fig. 6,"(a) 3-D atom maps of a tip specimen containing FCC(L12) and BCC(B2) phase boundary of the AlCoCrFeNi2.1alloy. 60% Cr iso-concentration surface shows the outline of Cr-enriched nano-precipitates; (b) 3-D atom maps of BCC(B2) phase containing substantial nano-precipitates, the unit is nm; (c) size distribution of Cr-enriched nano-precipitates."
fig7,articles_test/10.1016.j.actamat.2017.07.041/figures/egi10W993TFCF9.jpg,Fig. 7,(a) 1-D concentration profiles of Cr-enriched nano-precipitates; (b) 1-D concentration profiles of the phase boundary.
fig8,articles_test/10.1016.j.actamat.2017.07.041/figures/egi10B53D4M7LF.jpg,Fig. 8,(a) 3-D atom maps and (b) corresponding 1-D concentration profiles of a specific Cr-enriched nano-precipitate.
fig9,articles_test/10.1016.j.actamat.2017.07.041/figures/egi10M4X1V58K1.jpg,Fig. 9,HRTEM characterization of AlCoCrFeNi2.1alloy: (a) image containing three SFs in FCC(L12) phase; (b) magnified image of the SFs; (c) HRTEM image of the phase boundary and intersected SFs; (d) HRTEM image of a nano-precipitate in BCC(B2) phase. Fourier transformation patterns are insets.
fig10,articles_test/10.1016.j.actamat.2017.07.041/figures/egi10TWRP3K9CR.jpg,Fig. 10,"SEM images showing different fracture modes of the BCC(B2) phase in AlCoCrFeNi2.1alloy. (a) shows the crack was nucleated at one end of the BCC(B2) phase and then propagated through the BCC(B2) to the other end by leaving fish-bone shaped crack markings with radial stripes (marked with red solid lines) in the BCC(B2) lamella. (b) shows cracks were nucleated at the BCC(B2) and FCC(L12) phase boundaries and then propagated along an orientation of 45° related to the phase boundaries. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)"
